Date;Auvergne-Rhone-Alpes;Bourgogne-Franche-Comte;Bretagne;Centre-Val_de_Loire;Corse;Grand_Est;Hauts-de-France;Ile-de-France;Normandie;Nouvelle-Aquitaine;Occitanie;Pays_de_la_Loire;Provence-Alpes-Cote_d_Azur;Guadeloupe;Saint-Barthelemy;Saint-Martin;Guyane;Martinique;Mayotte;La_Reunion
lat;45.497792;47.203854;48.184800;47.497133;42.167987;48.737755;49.987103;48.780145;49.032183;45.210689;43.640666;47.560428;43.945073;16;17.898014;18.064403;4.93461;14.6;-12.77889;-20.8789
lon;4.502306;4.663105;-2.805187;1.652102;9.067891;5.870363;2.847584;2.460004;0.164436;0.111266;1.963932;-0.786067;5.980330;-61.73334;-62.829357;-63.054171;-52.33033;-61.08334;45.23151;55.4481
2020-03-04;49;16;23;0;0;38;65;55;2;5;9;7;13;3;0;0;0;0;0;0
2020-03-05;64;39;29;2;3;77;74;76;6;8;11;8;18;3;5;0;0;0;0;0
2020-03-06;75;78;32;11;3;136;97;89;11;11;18;16;26;0;5;2;0;0;1;2
2020-03-07;102;129;40;16;5;250;173;104;11;17;36;18;38;0;5;2;0;0;1;2
2020-03-10;211;146;81;18;42;464;209;334;37;54;61;27;89;0;1;2;5;3;0;0
2020-03-11;264;155;94;20;51;578;263;492;54;66;87;34;111;0;1;2;5;3;0;1
2020-03-12;329;219;117;30;64;699;349;577;68;87;133;41;147;0;1;2;6;4;0;3
2020-03-13;416;272;155;33;85;911;397;721;97;114;172;55;212;1;1;2;6;6;0;5
2020-03-14;454;339;182;54;106;1085;466;949;127;130;214;82;281;3;1;2;7;10;1;6
2020-03-15;523;412;207;71;115;1378;507;1209;143;144;243;98;330;6;3;2;7;15;1;9
2020-03-16;618;507;233;90;126;1543;585;1762;156;178;262;108;405;18;3;2;11;16;1;9
2020-03-17;710;549;247;103;145;1820;612;2177;174;200;311;126;478;27;3;3;11;19;3;12
2020-03-18;858;593;273;128;152;2163;665;2693;208;237;371;128;574;33;3;4;11;23;3;14
2020-03-19;1014;696;297;157;162;2643;700;3384;241;280;444;160;693;45;3;4;15;32;6;19;
2020-03-20;1101;770;346;219;168;3006;759;3818;287;432;537;190;826;51;3;4;15;32;7;38;
2020-03-21;1266;903;359;254;173;3089;791**;4695;345;521;611;234;1041;56;3;5;18;37;11;47;
2020-03-22;1431;1178;397;291;183;3395;936**;5283;462;612;671;270;1372;58;3;6;19;44;14;64;
