Date;Infections;Deces;InfectionsEnPlus;DecesEnPlus
2020-03-22;;674;-16689;0
2020-03-22;16689;674;671;0
2020-03-22;16018;674;1559;112
2020-03-21;14459;562;1847;112
2020-03-20;12612;450;1617;78
2020-03-19;10995;372;1861;128
2020-03-18;9134;244;1404;69
2020-03-17;7730;175;1097;27
2020-03-16;6633;148;1210;21
2020-03-15;5423;127;924;36
2020-03-14;4499;91;838;12
2020-03-13;3661;79;785;18
2020-03-12;2876;61;595;13
2020-03-11;2281;48;497;15
2020-03-10;1784;33;372;3
2020-03-09;1412;30;286;11
2020-03-08;1126;19;177;3
2020-03-07;949;16;336;7
2020-03-06;613;9;190;2
2020-03-05;423;7;138;3
2020-03-04;285;4;81;0
2020-03-03;204;4;13;1
2020-03-02;191;3;61;1
2020-03-01;130;2;30;0
2020-02-29;100;2;43;0
2020-02-28;57;2;19;0
2020-02-27;38;2;20;0
2020-02-26;18;2;4;1
2020-02-25;14;1;2;0
2020-02-24;12;1;0;0
2020-02-23;12;1;0;0
2020-02-22;12;1;0;0
2020-02-21;12;1;0;0
2020-02-20;12;1;0;0
2020-02-19;12;1;0;0
2020-02-18;12;1;0;0
2020-02-17;12;1;0;0
2020-02-16;12;1;0;0
2020-02-15;12;1;1;1
2020-02-14;11;0;0;0
2020-02-13;11;0;0;0
2020-02-12;11;0;0;0
2020-02-11;11;0;0;0
2020-02-10;11;0;0;0
2020-02-09;11;0;0;0
2020-02-08;11;0;5;0
2020-02-07;6;0;0;0
2020-02-06;6;0;0;0
2020-02-05;6;0;0;0
2020-02-04;6;0;0;0
2020-02-03;6;0;0;0
2020-02-02;6;0;0;0
2020-02-01;6;0;1;0
2020-01-31;5;0;0;0
2020-01-30;5;0;0;0
2020-01-29;5;0;1;0
2020-01-28;4;0;1;0
2020-01-27;3;0;0;0
2020-01-26;3;0;0;0
2020-01-25;3;0;1;0
2020-01-24;2;0;2;0
